epoch,timestamp,loss,val_loss,auc,val_auc,recall,val_recall,specificity,val_specificity,f1,val_f1,hamming_loss,val_hamming_loss,ppv,val_ppv,npv,val_npv
0,2025-01-06 23:29:22,0.7664883136749268,0.6338000893592834,0.6970226168632507,0.7871252298355103,0.36614054441452026,0.42494285106658936,0.07816784083843231,0.04896696284413338,0.26136571168899536,0.36612313985824585,0.10686228424310684,0.0762176439166069,0.20321407914161682,0.3216070830821991,0.9218321442604065,0.9510330557823181
1,2025-01-06 23:41:04,0.6356281638145447,0.5973799824714661,0.7690646052360535,0.807799220085144,0.4556993246078491,0.4531369209289551,0.06951496750116348,0.052241601049900055,0.3335535228252411,0.3761332333087921,0.0940316766500473,0.07786230742931366,0.263046532869339,0.32149937748908997,0.9304850101470947,0.9477583765983582
2,2025-01-06 23:52:49,0.5916823148727417,0.5769038200378418,0.7997158169746399,0.8167974352836609,0.4867604076862335,0.4902209937572479,0.06758391112089157,0.059637293219566345,0.35686421394348145,0.3797343373298645,0.09059669077396393,0.08295395970344543,0.2816922664642334,0.3098908066749573,0.9324160814285278,0.9403626918792725
3,2025-01-07 00:04:49,0.5574756860733032,0.5737352967262268,0.8245207667350769,0.8179921507835388,0.5156331062316895,0.5059689879417419,0.06660833209753036,0.06706073135137558,0.3765198588371277,0.3701913356781006,0.0881805345416069,0.08917716890573502,0.2965211868286133,0.2918681204319,0.9333916902542114,0.9329392910003662
4,2025-01-07 00:16:20,0.5258561968803406,0.577340841293335,0.8478108048439026,0.8199002146720886,0.548349142074585,0.4617729187011719,0.06681834161281586,0.05446169525384903,0.39513322710990906,0.3756197392940521,0.08669029921293259,0.07952002435922623,0.30883949995040894,0.3165592849254608,0.933181643486023,0.9455382823944092
5,2025-01-07 00:28:01,0.49579110741615295,0.5819216370582581,0.8703340888023376,0.8073281049728394,0.5780014991760254,0.540259063243866,0.06735006719827652,0.07639900594949722,0.4106680154800415,0.36767497658729553,0.0856633186340332,0.0962555781006813,0.31846991181373596,0.2786584496498108,0.9326499104499817,0.923600971698761
6,2025-01-07 00:39:30,0.46338924765586853,0.5944931507110596,0.8907564878463745,0.8092265725135803,0.6140684485435486,0.5179070234298706,0.0673917755484581,0.07284685224294662,0.43065834045410156,0.3632637858390808,0.08384045958518982,0.0940452367067337,0.33161237835884094,0.27973657846450806,0.9326082468032837,0.9271531701087952
7,2025-01-07 00:51:10,0.4054175019264221,0.6696031093597412,0.9209628701210022,0.7940804362297058,0.6712530851364136,0.5021589994430542,0.0634976401925087,0.0673382431268692,0.47314125299453735,0.36723315715789795,0.07719448208808899,0.0896376222372055,0.3653213381767273,0.2894582748413086,0.9365023374557495,0.932661771774292
8,2025-01-07 01:03:05,0.3691152036190033,0.7012408971786499,0.9361805319786072,0.7888093590736389,0.713132917881012,0.5212090611457825,0.061758726835250854,0.07849422097206116,0.500905454158783,0.3523956537246704,0.07338277995586395,0.09922904521226883,0.38602492213249207,0.26618239283561707,0.9382413029670715,0.9215058088302612
9,2025-01-07 01:14:45,0.3395465016365051,0.7676974534988403,0.9468838572502136,0.7698410749435425,0.746669590473175,0.4907289743423462,0.05934881791472435,0.07130666077136993,0.5264441967010498,0.35101738572120667,0.06936553120613098,0.09399262815713882,0.40653833746910095,0.2732286751270294,0.9406511783599854,0.9286933541297913
10,2025-01-07 01:26:22,0.3027580678462982,0.8707823157310486,0.9585450291633606,0.7535931468009949,0.7832289338111877,0.43865886330604553,0.05381705239415169,0.058374613523483276,0.5651782751083374,0.3499138653278351,0.06223168969154358,0.08442752063274384,0.44209834933280945,0.2910347282886505,0.9461829662322998,0.9416254162788391
11,2025-01-07 01:37:58,0.2800079882144928,0.9173175096511841,0.964910626411438,0.7451348900794983,0.8085045218467712,0.4516128897666931,0.050395816564559937,0.06185738742351532,0.5914315581321716,0.349552720785141,0.05768180638551712,0.08705892413854599,0.4662496745586395,0.2851186692714691,0.9496041536331177,0.9381425976753235
